key	a	c	0
Adamus Breidler can. Reg. Rottenmann	Breidler, Adalmus		
Andreas Grasser	Grasser, Andreas		
Andreas Metschacher	Metschacher, Andreas		
Andreas Raser	Raser, Andreas		
Andreas von Kreig	Andreas	von Kreig	
Andreas Widmerer	Widmerer, Andreas		
Anton Josef Edler von Hohenrain	Hohenrain, Anton Josef <<von>> 		
Anton Schlossar	Schlossar, Anton		(DE-101)100816142
Anton Schönbach	Schönbach, Anton		(DE-101)116859989
Augustinus von Kärnten	Augustinus	von Kärnten	
Bernhard von Rohr	Bernhard	von Rohr	(DE-101)129126713
Ch. von Bebenberach	Ch.	von Bebenberach	
Dominus Petrus	Dominus, Petrus		
Dr. Moritz R. v. Schreiner	Schreiner, Moriz <<von>>		(DE-101)1032814020
Ed. Paeneke	Paeneke, Ed.		
Elbuin von Traföss	Elbuin	von Traföß	
Erhard Pöltinger	Pöltinger, Erhard		
Erhard Widmer	Widmer, Erhard		
Erich Pitsch	Pitsch, Erich		
Ferdinand Eichler	Eichler, Ferdinand		(DE-101)116417641
Franz Emerich in Wien	Emerich, Franz		(DE-101)119662825
Franz Jakob Frisch	Frisch, Franz Jakob		
Frater Rudolfus	Rudolfus		
Friedrich Ahn	Ahn, Friedrich		
Friedrich von Tulln	Friedrich	von Tulln	
Gabriel Gündrichinger	Gründrichinger, Gabriel		
Gabriel Hegmann	Hegmann, Gabriel		
Gottschalk von Diernstein	Gottschalk 	von Dürnstein	
Gottschalk, Pfarrer v. Klein-Lobming	Gottschalk 	von Klein-Lobming, Pfarrer	
Gräfin Waldersdorff-Fontetics	Waldersdorff-Festetics, Wanda <<von>>		
Hartmann von Eppingen	Hartmann	von Eppingen	
Heinrich von Lobenstein	Heinrich	von Lobenstein	
Hieronymus Odontius	Odontius, Hieronymus		
Jacobus de Arena	Jacobus	de Arena	(DE-101)104335890
Jakob Fellin	Fellin, Jakob		(DE-101)130147842
Jakob Gerold	Gerold, Jakob		(DE-101)129022039
Johann Ferdinand von Herberstein	Herberstein, Johann Ferdinand <<von>>		
Johann Franz von Jungwirt	Jungwirt, Johann Franz <<von>>		
Johann Jakob von Stainach	Stainach, Johann Jakob <<von>>		
Johann Jörg Berg	Berg, Johann Jörg		
Johann Loserth	Loserth, Johann		(DE-101)117220914
Johannes Erenhauser	Ehrenhauser, Johannes		
Johannes Gretzer	Gretzer, Johannes		
Johann Reitsperger aus Murau	Reitsperger, Johann		
Johannes Sambucus	Sambucus, Johannes 		(DE-101)118751069
Johannes Spieß 	Spieß, Johannes		
Johannes Waltpod von Heiligenstadt	Johannes	Waltpott von Heiligenstadt	
Johannes Wiser	Wiser, Johannes		
Josef Anton Edler von Hohenrain	Hohenrain, Josef Anton <<von>> 		
Josef Jaky	Jaky, Josef		
K. Polheim	Polheim, Karl Konrad		(DE-101)118828509
K.B. Hofmann	Hofmann, Karl Berthold		(DE-101)118930982
Karl Zwierzina	Zwierzina, Karl		
Klemens Heuerraus	Heuerraus, Klemens		
Konrad Heunfelder	Heunfelder, Konrad		
L. v. Graff	Graff, Ludwig <<von>>		(DE-101)12073205X
Leonhard aus Aflenz	Leonhard	aus Aflenz	
Leonhard Geller 	Geller, Leonhard		
Lucas canonicus	Luca	von Seckau, Chorherr	
Mag. Leonhard von Hallstatt	Leonhard	von Hallstatt	
Magister Arnold de Lo	Arnold	de Lo	
Marcus und Clemens beide Seckauer Chorherren	Marcus	von Seckau, Chorherr	
	Clemens 	von Seckau, Chorherr	
Marquard Stellingh	Stellingh, Marquard		
Martinus Chorherr in Klosterneuburg	Martinus	von Klosterneuburg, Chorherr	
"Mathias Macher
"	Macher, Mathias		
Matthias von Horzowycz	Matthias 	von Horzowycz	
Michael Freysleben	Freysleben, Michael		
Nicolaus Los de Hoffis	Nicolaus 	Los de Hoffis	
Nikolaus von Zwittau	Nikolaus	von Zwittau	
Otto Tardus	Tardus, Otto		
Priester Wernher	Wernher	Priester	
Rudolf von Steitz	Rudolf	von Steitz	
Samuel Helfer	Helfer, Samuel		
Simon Ammonius	Ammonius, Simon		
Ulrich von Albeck	Ulrich	von Albeck	(DE-588)102138237X
Ulricus Haller	Haller, Ulricus		
Walther von Graz 	Walther	von Graz	
Wilhelm, Propst in Friesach	Wilhelm	Propst von Friesach	
Wolf Hueber	Hueber, Wolf		(DE-101)137640161
Wolfgang Edlerpeck	Edlerpeck, Wolfgang		
Wolfgang Jöchlinger	Jöchlinger, Wolfgang		(DE-588)12148825X
Wolfgang Schranz	Schranz, Wolfgang		(DE-588)119824221
